character,frequency,is_variant,filter_layer,reason,modern_equivalents
椶,25,True,1,Unihan variant of {'棕'},棕
鉏,25,False,,passed all layers — likely truly disappeared,
坻,24,False,,passed all layers — likely truly disappeared,
睠,24,False,,passed all layers — likely truly disappeared,
斡,24,False,,passed all layers — likely truly disappeared,
菓,24,True,1,Unihan variant of {'果'},果
蘗,24,False,,passed all layers — likely truly disappeared,
惸,23,False,,passed all layers — likely truly disappeared,
斵,23,True,1,Unihan variant of {'斲'},斲
頳,23,False,,passed all layers — likely truly disappeared,
鷰,23,False,,passed all layers — likely truly disappeared,
鳯,23,False,,passed all layers — likely truly disappeared,
駮,22,False,,passed all layers — likely truly disappeared,
蠭,22,True,1,Unihan variant of {'蜂'},蜂
荥,22,False,,passed all layers — likely truly disappeared,
窻,22,True,1,Unihan variant of {'窗'},窗
隟,22,False,,passed all layers — likely truly disappeared,
敻,22,False,,passed all layers — likely truly disappeared,
貍,22,True,1,Unihan variant of {'狸'},狸
撃,22,False,,passed all layers — likely truly disappeared,
嗁,22,True,1,Unihan variant of {'啼'},啼
粢,21,False,,passed all layers — likely truly disappeared,
覰,21,False,,passed all layers — likely truly disappeared,
緌,21,False,,passed all layers — likely truly disappeared,
羗,20,True,1,Unihan variant of {'羌'},羌
匳,20,False,,passed all layers — likely truly disappeared,
碪,20,True,1,Unihan variant of {'砧'},砧
謌,20,True,1,Unihan variant of {'歌'},歌
臙,20,True,1,Unihan variant of {'胭'},胭
澁,19,False,,passed all layers — likely truly disappeared,
穽,19,True,1,Unihan variant of {'阱'},阱
瑯,19,True,1,Unihan variant of {'琅'},琅
皐,19,False,,passed all layers — likely truly disappeared,
迺,19,True,1,Unihan variant of {'乃'},乃
瑠,19,True,1,Unihan variant of {'琉'},琉
蟇,19,False,,passed all layers — likely truly disappeared,
覊,19,False,,passed all layers — likely truly disappeared,
颕,18,False,,passed all layers — likely truly disappeared,
荳,18,True,1,Unihan variant of {'豆'},豆
鸜,18,False,,passed all layers — likely truly disappeared,
麄,18,True,1,Unihan variant of {'粗'},粗
翺,18,True,1,Unihan variant of {'翱'},翱
倂,17,False,,passed all layers — likely truly disappeared,
汭,17,False,,passed all layers — likely truly disappeared,
麛,17,False,,passed all layers — likely truly disappeared,
栱,17,False,,passed all layers — likely truly disappeared,
倐,17,True,1,Unihan variant of {'倏'},倏
濶,17,False,,passed all layers — likely truly disappeared,
勗,16,True,1,Unihan variant of {'勖'},勖
