character,frequency,is_variant,filter_layer,reason,modern_equivalents
卼,3,False,,passed all layers — likely truly disappeared,
磓,3,False,,passed all layers — likely truly disappeared,
蹡,3,False,,passed all layers — likely truly disappeared,
庀,3,False,,passed all layers — likely truly disappeared,
蚳,3,False,,passed all layers — likely truly disappeared,
殑,3,False,,passed all layers — likely truly disappeared,
緪,3,False,,passed all layers — likely truly disappeared,
啀,3,False,,passed all layers — likely truly disappeared,
窼,3,False,,passed all layers — likely truly disappeared,
睺,3,False,,passed all layers — likely truly disappeared,
甽,3,True,1,Unihan variant of {'畎'},畎
耼,3,True,1,Unihan variant of {'聃'},聃
礿,3,False,,passed all layers — likely truly disappeared,
禜,3,False,,passed all layers — likely truly disappeared,
瘇,3,False,,passed all layers — likely truly disappeared,
蜋,3,True,1,Unihan variant of {'螂'},螂
梐,3,False,,passed all layers — likely truly disappeared,
枑,3,False,,passed all layers — likely truly disappeared,
黐,3,False,,passed all layers — likely truly disappeared,
衤,3,True,1,Unihan variant of {'衣'},衣
埓,3,False,,passed all layers — likely truly disappeared,
俙,3,False,,passed all layers — likely truly disappeared,
挶,3,False,,passed all layers — likely truly disappeared,
剠,3,False,,passed all layers — likely truly disappeared,
圠,3,False,,passed all layers — likely truly disappeared,
慠,3,False,,passed all layers — likely truly disappeared,
斖,3,False,,passed all layers — likely truly disappeared,
蒀,3,False,,passed all layers — likely truly disappeared,
臑,3,False,,passed all layers — likely truly disappeared,
茇,3,False,,passed all layers — likely truly disappeared,
毚,3,False,,passed all layers — likely truly disappeared,
嵸,3,False,,passed all layers — likely truly disappeared,
喆,3,True,1,Unihan variant of {'哲'},哲
倬,3,False,,passed all layers — likely truly disappeared,
唫,3,True,1,Unihan variant of {'吟'},吟
稾,3,True,1,Unihan variant of {'稿'},稿
畮,3,False,,passed all layers — likely truly disappeared,
耉,3,False,,passed all layers — likely truly disappeared,
睗,3,False,,passed all layers — likely truly disappeared,
瑱,3,False,,passed all layers — likely truly disappeared,
釱,3,False,,passed all layers — likely truly disappeared,
攷,3,True,1,Unihan variant of {'考'},考
鵕,3,False,,passed all layers — likely truly disappeared,
堘,3,True,1,Unihan variant of {'塍'},塍
巓,3,False,,passed all layers — likely truly disappeared,
箘,3,False,,passed all layers — likely truly disappeared,
皥,3,True,1,Unihan variant of {'皞'},皞
歜,3,False,,passed all layers — likely truly disappeared,
襹,3,False,,passed all layers — likely truly disappeared,
瑊,3,False,,passed all layers — likely truly disappeared,
帩,3,False,,passed all layers — likely truly disappeared,
俫,3,False,,passed all layers — likely truly disappeared,
袠,3,True,1,Unihan variant of {'帙'},帙
巿,3,False,,passed all layers — likely truly disappeared,
濉,3,False,,passed all layers — likely truly disappeared,
韎,3,False,,passed all layers — likely truly disappeared,
繙,3,False,,passed all layers — likely truly disappeared,
亻,3,True,1,Unihan variant of {'人'},人
飇,3,False,,passed all layers — likely truly disappeared,
卄,3,True,1,Unihan variant of {'廿'},廿
衘,3,False,,passed all layers — likely truly disappeared,
趦,3,True,1,Unihan variant of {'趑'},趑
姧,3,False,,passed all layers — likely truly disappeared,
酅,3,False,,passed all layers — likely truly disappeared,
碔,3,False,,passed all layers — likely truly disappeared,
卍,3,True,1,"Unihan variant of {'卐', '万'}","万, 卐"
攅,3,False,,passed all layers — likely truly disappeared,
閴,3,False,,passed all layers — likely truly disappeared,
煗,3,False,,passed all layers — likely truly disappeared,
眎,3,False,,passed all layers — likely truly disappeared,
艚,3,False,,passed all layers — likely truly disappeared,
膦,3,False,,passed all layers — likely truly disappeared,
倢,3,False,,passed all layers — likely truly disappeared,
箊,3,False,,passed all layers — likely truly disappeared,
脇,3,False,,passed all layers — likely truly disappeared,
醿,3,True,1,Unihan variant of {'醾'},醾
葢,3,True,1,Unihan variant of {'盖'},盖
婑,3,False,,passed all layers — likely truly disappeared,
凘,3,True,1,Unihan variant of {'澌'},澌
懹,3,False,,passed all layers — likely truly disappeared,
隵,3,False,,passed all layers — likely truly disappeared,
歗,3,False,,passed all layers — likely truly disappeared,
肎,3,True,1,Unihan variant of {'肯'},肯
崘,3,False,,passed all layers — likely truly disappeared,
榰,2,False,,passed all layers — likely truly disappeared,
冐,2,False,,passed all layers — likely truly disappeared,
焮,2,False,,passed all layers — likely truly disappeared,
窋,2,False,,passed all layers — likely truly disappeared,
镈,2,False,,passed all layers — likely truly disappeared,
蜯,2,True,1,Unihan variant of {'蚌'},蚌
嚻,2,False,,passed all layers — likely truly disappeared,
煠,2,True,1,Unihan variant of {'炸'},炸
珤,2,False,,passed all layers — likely truly disappeared,
扄,2,False,,passed all layers — likely truly disappeared,
溓,2,False,,passed all layers — likely truly disappeared,
詧,2,True,1,Unihan variant of {'察'},察
饍,2,True,1,Unihan variant of {'膳'},膳
貎,2,False,,passed all layers — likely truly disappeared,
嘑,2,False,,passed all layers — likely truly disappeared,
雭,2,False,,passed all layers — likely truly disappeared,
惏,2,False,,passed all layers — likely truly disappeared,
郓,2,False,,passed all layers — likely truly disappeared,
鉎,2,False,,passed all layers — likely truly disappeared,
囘,2,True,1,Unihan variant of {'回'},回
洺,2,False,,passed all layers — likely truly disappeared,
窆,2,False,,passed all layers — likely truly disappeared,
煼,2,False,,passed all layers — likely truly disappeared,
燂,2,False,,passed all layers — likely truly disappeared,
僎,2,False,,passed all layers — likely truly disappeared,
愎,2,False,,passed all layers — likely truly disappeared,
衖,2,False,,passed all layers — likely truly disappeared,
耎,2,False,,passed all layers — likely truly disappeared,
韂,2,False,,passed all layers — likely truly disappeared,
躃,2,False,,passed all layers — likely truly disappeared,
鲕,2,False,,passed all layers — likely truly disappeared,
毺,2,False,,passed all layers — likely truly disappeared,
趗,2,False,,passed all layers — likely truly disappeared,
甒,2,False,,passed all layers — likely truly disappeared,
貜,2,False,,passed all layers — likely truly disappeared,
廵,2,True,1,Unihan variant of {'巡'},巡
猳,2,False,,passed all layers — likely truly disappeared,
宷,2,False,,passed all layers — likely truly disappeared,
憓,2,False,,passed all layers — likely truly disappeared,
罼,2,False,,passed all layers — likely truly disappeared,
薗,2,False,,passed all layers — likely truly disappeared,
蜣,2,False,,passed all layers — likely truly disappeared,
慞,2,False,,passed all layers — likely truly disappeared,
阝,2,True,1,Unihan variant of {'阜'},阜
仚,2,False,,passed all layers — likely truly disappeared,
齓,2,False,,passed all layers — likely truly disappeared,
鍱,2,False,,passed all layers — likely truly disappeared,
倮,2,False,,passed all layers — likely truly disappeared,
馺,2,False,,passed all layers — likely truly disappeared,
礰,2,False,,passed all layers — likely truly disappeared,
摎,2,False,,passed all layers — likely truly disappeared,
喰,2,False,,passed all layers — likely truly disappeared,
鬪,2,False,,passed all layers — likely truly disappeared,
靁,2,False,,passed all layers — likely truly disappeared,
嶫,2,False,,passed all layers — likely truly disappeared,
糸,2,False,,passed all layers — likely truly disappeared,
坵,2,True,1,Unihan variant of {'丘'},丘
罸,2,False,,passed all layers — likely truly disappeared,
杻,2,False,,passed all layers — likely truly disappeared,
纟,2,False,,passed all layers — likely truly disappeared,
淦,2,False,,passed all layers — likely truly disappeared,
糓,2,False,,passed all layers — likely truly disappeared,
昷,2,False,,passed all layers — likely truly disappeared,
螘,2,False,,passed all layers — likely truly disappeared,
戙,2,False,,passed all layers — likely truly disappeared,
簝,2,False,,passed all layers — likely truly disappeared,
嗗,2,False,,passed all layers — likely truly disappeared,
帤,2,False,,passed all layers — likely truly disappeared,
怗,2,False,,passed all layers — likely truly disappeared,
鼟,2,False,,passed all layers — likely truly disappeared,
呙,2,False,,passed all layers — likely truly disappeared,
痎,2,False,,passed all layers — likely truly disappeared,
羜,2,False,,passed all layers — likely truly disappeared,
镩,2,False,,passed all layers — likely truly disappeared,
邘,2,False,,passed all layers — likely truly disappeared,
穾,2,False,,passed all layers — likely truly disappeared,
愡,2,False,,passed all layers — likely truly disappeared,
虙,2,False,,passed all layers — likely truly disappeared,
黕,2,False,,passed all layers — likely truly disappeared,
鮌,2,False,,passed all layers — likely truly disappeared,
稙,2,False,,passed all layers — likely truly disappeared,
璟,2,False,,passed all layers — likely truly disappeared,
謥,2,False,,passed all layers — likely truly disappeared,
駷,2,False,,passed all layers — likely truly disappeared,
圢,2,True,1,Unihan variant of {'町'},町
镔,2,False,,passed all layers — likely truly disappeared,
衺,2,False,,passed all layers — likely truly disappeared,
丳,2,False,,passed all layers — likely truly disappeared,
麖,2,False,,passed all layers — likely truly disappeared,
玼,2,False,,passed all layers — likely truly disappeared,
裠,2,True,1,Unihan variant of {'裙'},裙
噒,2,False,,passed all layers — likely truly disappeared,
翿,2,False,,passed all layers — likely truly disappeared,
窰,2,False,,passed all layers — likely truly disappeared,
嫈,2,False,,passed all layers — likely truly disappeared,
蟚,2,True,1,Unihan variant of {'蟛'},蟛
拲,2,False,,passed all layers — likely truly disappeared,
螖,2,False,,passed all layers — likely truly disappeared,
揳,2,False,,passed all layers — likely truly disappeared,
婠,2,False,,passed all layers — likely truly disappeared,
妠,2,False,,passed all layers — likely truly disappeared,
椌,2,False,,passed all layers — likely truly disappeared,
劼,2,False,,passed all layers — likely truly disappeared,
犗,2,False,,passed all layers — likely truly disappeared,
餽,2,False,,passed all layers — likely truly disappeared,
筰,2,False,,passed all layers — likely truly disappeared,
蝹,2,False,,passed all layers — likely truly disappeared,
苮,2,False,,passed all layers — likely truly disappeared,
鸓,2,False,,passed all layers — likely truly disappeared,
亳,2,False,,passed all layers — likely truly disappeared,
鄞,2,False,,passed all layers — likely truly disappeared,
镢,2,False,,passed all layers — likely truly disappeared,
蹮,2,False,,passed all layers — likely truly disappeared,
麁,2,False,,passed all layers — likely truly disappeared,
凟,2,False,,passed all layers — likely truly disappeared,
葼,2,False,,passed all layers — likely truly disappeared,
茍,2,True,1,Unihan variant of {'苟'},苟
嶛,2,False,,passed all layers — likely truly disappeared,
乣,2,False,,passed all layers — likely truly disappeared,
駖,2,False,,passed all layers — likely truly disappeared,
轒,2,False,,passed all layers — likely truly disappeared,
隹,2,False,,passed all layers — likely truly disappeared,
綘,2,False,,passed all layers — likely truly disappeared,
濙,2,False,,passed all layers — likely truly disappeared,
溴,2,False,,passed all layers — likely truly disappeared,
苢,2,True,1,Unihan variant of {'苡'},苡
嵕,2,False,,passed all layers — likely truly disappeared,
唽,2,False,,passed all layers — likely truly disappeared,
爀,2,False,,passed all layers — likely truly disappeared,
骣,2,False,,passed all layers — likely truly disappeared,
恇,2,False,,passed all layers — likely truly disappeared,
闟,2,False,,passed all layers — likely truly disappeared,
蹢,2,False,,passed all layers — likely truly disappeared,
橜,2,True,1,Unihan variant of {'橛'},橛
垡,2,False,,passed all layers — likely truly disappeared,
侹,2,False,,passed all layers — likely truly disappeared,
郜,2,False,,passed all layers — likely truly disappeared,
伾,2,False,,passed all layers — likely truly disappeared,
猭,2,False,,passed all layers — likely truly disappeared,
挻,2,False,,passed all layers — likely truly disappeared,
籢,2,False,,passed all layers — likely truly disappeared,
乹,2,True,1,Unihan variant of {'乾'},乾
娬,2,False,,passed all layers — likely truly disappeared,
搤,2,True,1,Unihan variant of {'扼'},扼
慴,2,False,,passed all layers — likely truly disappeared,
幖,2,False,,passed all layers — likely truly disappeared,
婥,2,False,,passed all layers — likely truly disappeared,
郍,2,False,,passed all layers — likely truly disappeared,
醎,2,False,,passed all layers — likely truly disappeared,
膇,2,False,,passed all layers — likely truly disappeared,
佉,2,False,,passed all layers — likely truly disappeared,
鈚,2,False,,passed all layers — likely truly disappeared,
尩,2,False,,passed all layers — likely truly disappeared,
瞷,2,False,,passed all layers — likely truly disappeared,
喦,2,False,,passed all layers — likely truly disappeared,
靿,2,False,,passed all layers — likely truly disappeared,
舖,2,False,,passed all layers — likely truly disappeared,
昶,2,False,,passed all layers — likely truly disappeared,
嚗,2,False,,passed all layers — likely truly disappeared,
垌,2,False,,passed all layers — likely truly disappeared,
酕,2,False,,passed all layers — likely truly disappeared,
醄,2,False,,passed all layers — likely truly disappeared,
轵,2,False,,passed all layers — likely truly disappeared,
蒏,2,False,,passed all layers — likely truly disappeared,
疒,2,False,,passed all layers — likely truly disappeared,
薋,2,False,,passed all layers — likely truly disappeared,
肭,2,False,,passed all layers — likely truly disappeared,
毣,2,False,,passed all layers — likely truly disappeared,
髐,2,False,,passed all layers — likely truly disappeared,
礊,2,False,,passed all layers — likely truly disappeared,
虥,2,False,,passed all layers — likely truly disappeared,
螾,2,True,1,Unihan variant of {'蚓'},蚓
粣,2,False,,passed all layers — likely truly disappeared,
胮,2,False,,passed all layers — likely truly disappeared,
餁,2,False,,passed all layers — likely truly disappeared,
褎,2,False,,passed all layers — likely truly disappeared,
饽,2,False,,passed all layers — likely truly disappeared,
嶱,2,False,,passed all layers — likely truly disappeared,
帢,2,False,,passed all layers — likely truly disappeared,
獑,2,False,,passed all layers — likely truly disappeared,
杴,2,False,,passed all layers — likely truly disappeared,
撦,2,True,1,Unihan variant of {'扯'},扯
褾,2,False,,passed all layers — likely truly disappeared,
擥,2,False,,passed all layers — likely truly disappeared,
菫,2,True,1,Unihan variant of {'堇'},堇
逬,2,False,,passed all layers — likely truly disappeared,
脁,2,False,,passed all layers — likely truly disappeared,
璩,2,False,,passed all layers — likely truly disappeared,
喩,2,False,,passed all layers — likely truly disappeared,
逺,2,False,,passed all layers — likely truly disappeared,
髙,2,True,1,Unihan variant of {'高'},高
慆,2,False,,passed all layers — likely truly disappeared,
瀌,2,False,,passed all layers — likely truly disappeared,
铪,2,False,,passed all layers — likely truly disappeared,
穊,2,False,,passed all layers — likely truly disappeared,
袾,2,False,,passed all layers — likely truly disappeared,
髆,2,False,,passed all layers — likely truly disappeared,
熈,2,True,1,Unihan variant of {'熙'},熙
槀,2,True,1,Unihan variant of {'稿'},稿
灇,2,False,,passed all layers — likely truly disappeared,
咥,2,False,,passed all layers — likely truly disappeared,
眀,2,False,,passed all layers — likely truly disappeared,
曽,2,False,,passed all layers — likely truly disappeared,
霋,2,False,,passed all layers — likely truly disappeared,
葐,2,False,,passed all layers — likely truly disappeared,
狵,2,True,1,Unihan variant of {'尨'},尨
宼,2,True,1,Unihan variant of {'寇'},寇
堄,2,False,,passed all layers — likely truly disappeared,
刾,2,False,,passed all layers — likely truly disappeared,
矌,2,False,,passed all layers — likely truly disappeared,
桒,2,False,,passed all layers — likely truly disappeared,
湝,2,False,,passed all layers — likely truly disappeared,
懅,2,False,,passed all layers — likely truly disappeared,
蚰,2,False,,passed all layers — likely truly disappeared,
韮,2,True,1,Unihan variant of {'韭'},韭
掻,2,False,,passed all layers — likely truly disappeared,
踨,2,False,,passed all layers — likely truly disappeared,
劎,2,False,,passed all layers — likely truly disappeared,
灜,2,False,,passed all layers — likely truly disappeared,
睖,2,False,,passed all layers — likely truly disappeared,
蹜,2,False,,passed all layers — likely truly disappeared,
樀,2,False,,passed all layers — likely truly disappeared,
衂,2,False,,passed all layers — likely truly disappeared,
蓻,2,False,,passed all layers — likely truly disappeared,
戃,2,False,,passed all layers — likely truly disappeared,
呫,2,False,,passed all layers — likely truly disappeared,
愐,2,False,,passed all layers — likely truly disappeared,
棙,2,False,,passed all layers — likely truly disappeared,
俵,2,False,,passed all layers — likely truly disappeared,
圪,2,False,,passed all layers — likely truly disappeared,
喢,2,False,,passed all layers — likely truly disappeared,
熁,2,False,,passed all layers — likely truly disappeared,
榸,2,False,,passed all layers — likely truly disappeared,
擉,2,False,,passed all layers — likely truly disappeared,
鮹,2,False,,passed all layers — likely truly disappeared,
蓪,2,False,,passed all layers — likely truly disappeared,
僴,2,False,,passed all layers — likely truly disappeared,
袚,2,False,,passed all layers — likely truly disappeared,
铔,2,False,,passed all layers — likely truly disappeared,
竫,2,False,,passed all layers — likely truly disappeared,
杙,2,False,,passed all layers — likely truly disappeared,
跞,2,False,,passed all layers — likely truly disappeared,
遬,2,False,,passed all layers — likely truly disappeared,
榉,2,False,,passed all layers — likely truly disappeared,
蓖,2,False,,passed all layers — likely truly disappeared,
泆,2,False,,passed all layers — likely truly disappeared,
媞,2,False,,passed all layers — likely truly disappeared,
啴,2,False,,passed all layers — likely truly disappeared,
漎,2,False,,passed all layers — likely truly disappeared,
伃,2,False,,passed all layers — likely truly disappeared,
蓣,2,False,,passed all layers — likely truly disappeared,
眘,2,False,,passed all layers — likely truly disappeared,
楢,2,False,,passed all layers — likely truly disappeared,
蘘,2,False,,passed all layers — likely truly disappeared,
喍,2,False,,passed all layers — likely truly disappeared,
醦,2,False,,passed all layers — likely truly disappeared,
唝,2,False,,passed all layers — likely truly disappeared,
脝,2,False,,passed all layers — likely truly disappeared,
犨,2,False,,passed all layers — likely truly disappeared,
獦,2,False,,passed all layers — likely truly disappeared,
賖,2,False,,passed all layers — likely truly disappeared,
鎻,2,False,,passed all layers — likely truly disappeared,
嶻,2,False,,passed all layers — likely truly disappeared,
堋,2,False,,passed all layers — likely truly disappeared,
穜,2,False,,passed all layers — likely truly disappeared,
檇,2,False,,passed all layers — likely truly disappeared,
抆,2,False,,passed all layers — likely truly disappeared,
虤,2,False,,passed all layers — likely truly disappeared,
罤,2,False,,passed all layers — likely truly disappeared,
愞,2,False,,passed all layers — likely truly disappeared,
秞,2,False,,passed all layers — likely truly disappeared,
浘,2,False,,passed all layers — likely truly disappeared,
梫,2,False,,passed all layers — likely truly disappeared,
佁,2,False,,passed all layers — likely truly disappeared,
橚,2,False,,passed all layers — likely truly disappeared,
梴,2,False,,passed all layers — likely truly disappeared,
汸,2,False,,passed all layers — likely truly disappeared,
嵺,2,False,,passed all layers — likely truly disappeared,
墢,2,False,,passed all layers — likely truly disappeared,
鸀,2,False,,passed all layers — likely truly disappeared,
撶,2,False,,passed all layers — likely truly disappeared,
闘,2,False,,passed all layers — likely truly disappeared,
呑,2,True,1,Unihan variant of {'吞'},吞
杇,2,False,,passed all layers — likely truly disappeared,
覻,2,False,,passed all layers — likely truly disappeared,
滮,2,False,,passed all layers — likely truly disappeared,
皵,2,False,,passed all layers — likely truly disappeared,
俋,2,False,,passed all layers — likely truly disappeared,
叿,2,False,,passed all layers — likely truly disappeared,
膁,2,False,,passed all layers — likely truly disappeared,
疳,2,False,,passed all layers — likely truly disappeared,
莿,2,False,,passed all layers — likely truly disappeared,
蓥,1,False,,passed all layers — likely truly disappeared,
皜,1,False,,passed all layers — likely truly disappeared,
萯,1,False,,passed all layers — likely truly disappeared,
琁,1,False,,passed all layers — likely truly disappeared,
鈜,1,False,,passed all layers — likely truly disappeared,
豝,1,False,,passed all layers — likely truly disappeared,
捄,1,False,,passed all layers — likely truly disappeared,
嶃,1,False,,passed all layers — likely truly disappeared,
襚,1,False,,passed all layers — likely truly disappeared,
榥,1,False,,passed all layers — likely truly disappeared,
輤,1,False,,passed all layers — likely truly disappeared,
嶾,1,False,,passed all layers — likely truly disappeared,
岹,1,False,,passed all layers — likely truly disappeared,
鄹,1,False,,passed all layers — likely truly disappeared,
旞,1,False,,passed all layers — likely truly disappeared,
柷,1,False,,passed all layers — likely truly disappeared,
傧,1,False,,passed all layers — likely truly disappeared,
翍,1,False,,passed all layers — likely truly disappeared,
餴,1,False,,passed all layers — likely truly disappeared,
珽,1,False,,passed all layers — likely truly disappeared,
禩,1,False,,passed all layers — likely truly disappeared,
妸,1,False,,passed all layers — likely truly disappeared,
瞇,1,False,,passed all layers — likely truly disappeared,
扐,1,False,,passed all layers — likely truly disappeared,
襍,1,False,,passed all layers — likely truly disappeared,
艄,1,False,,passed all layers — likely truly disappeared,
呰,1,False,,passed all layers — likely truly disappeared,
笶,1,False,,passed all layers — likely truly disappeared,
恌,1,False,,passed all layers — likely truly disappeared,
羉,1,False,,passed all layers — likely truly disappeared,
罿,1,False,,passed all layers — likely truly disappeared,
蕬,1,False,,passed all layers — likely truly disappeared,
肶,1,False,,passed all layers — likely truly disappeared,
蠧,1,False,,passed all layers — likely truly disappeared,
礲,1,False,,passed all layers — likely truly disappeared,
衉,1,False,,passed all layers — likely truly disappeared,
咈,1,False,,passed all layers — likely truly disappeared,
陑,1,False,,passed all layers — likely truly disappeared,
綮,1,False,,passed all layers — likely truly disappeared,
懡,1,False,,passed all layers — likely truly disappeared,
碏,1,False,,passed all layers — likely truly disappeared,
蝃,1,False,,passed all layers — likely truly disappeared,
玅,1,True,1,Unihan variant of {'妙'},妙
鋄,1,False,,passed all layers — likely truly disappeared,
夑,1,False,,passed all layers — likely truly disappeared,
榝,1,False,,passed all layers — likely truly disappeared,
阧,1,True,1,Unihan variant of {'陡'},陡
炧,1,False,,passed all layers — likely truly disappeared,
梩,1,False,,passed all layers — likely truly disappeared,
浤,1,False,,passed all layers — likely truly disappeared,
齖,1,False,,passed all layers — likely truly disappeared,
籐,1,True,1,Unihan variant of {'藤'},藤
炲,1,False,,passed all layers — likely truly disappeared,
齱,1,False,,passed all layers — likely truly disappeared,
齵,1,False,,passed all layers — likely truly disappeared,
鳢,1,False,,passed all layers — likely truly disappeared,
瓃,1,False,,passed all layers — likely truly disappeared,
踍,1,False,,passed all layers — likely truly disappeared,
胘,1,False,,passed all layers — likely truly disappeared,
鞹,1,False,,passed all layers — likely truly disappeared,
潠,1,False,,passed all layers — likely truly disappeared,
悺,1,False,,passed all layers — likely truly disappeared,
蠵,1,False,,passed all layers — likely truly disappeared,
壃,1,False,,passed all layers — likely truly disappeared,
夊,1,False,,passed all layers — likely truly disappeared,
椐,1,False,,passed all layers — likely truly disappeared,
聫,1,False,,passed all layers — likely truly disappeared,
瑑,1,False,,passed all layers — likely truly disappeared,
彐,1,False,,passed all layers — likely truly disappeared,
貮,1,False,,passed all layers — likely truly disappeared,
蓹,1,False,,passed all layers — likely truly disappeared,
鸐,1,False,,passed all layers — likely truly disappeared,
悋,1,True,1,Unihan variant of {'吝'},吝
袝,1,False,,passed all layers — likely truly disappeared,
泿,1,False,,passed all layers — likely truly disappeared,
暠,1,False,,passed all layers — likely truly disappeared,
坋,1,False,,passed all layers — likely truly disappeared,
纒,1,False,,passed all layers — likely truly disappeared,
捝,1,False,,passed all layers — likely truly disappeared,
檑,1,False,,passed all layers — likely truly disappeared,
潡,1,False,,passed all layers — likely truly disappeared,
憙,1,True,1,Unihan variant of {'喜'},喜
詃,1,False,,passed all layers — likely truly disappeared,
捖,1,False,,passed all layers — likely truly disappeared,
丨,1,False,,passed all layers — likely truly disappeared,
乚,1,False,,passed all layers — likely truly disappeared,
軄,1,False,,passed all layers — likely truly disappeared,
斈,1,False,,passed all layers — likely truly disappeared,
冫,1,True,1,Unihan variant of {'冰'},冰
暥,1,False,,passed all layers — likely truly disappeared,
夆,1,False,,passed all layers — likely truly disappeared,
芑,1,False,,passed all layers — likely truly disappeared,
颫,1,False,,passed all layers — likely truly disappeared,
蔴,1,True,1,Unihan variant of {'麻'},麻
薚,1,False,,passed all layers — likely truly disappeared,
琹,1,False,,passed all layers — likely truly disappeared,
氜,1,True,1,Unihan variant of {'阳'},阳
彾,1,False,,passed all layers — likely truly disappeared,
蠜,1,False,,passed all layers — likely truly disappeared,
杸,1,True,1,Unihan variant of {'殳'},殳
覉,1,False,,passed all layers — likely truly disappeared,
澟,1,False,,passed all layers — likely truly disappeared,
蘪,1,False,,passed all layers — likely truly disappeared,
柅,1,False,,passed all layers — likely truly disappeared,
巏,1,False,,passed all layers — likely truly disappeared,
嵍,1,False,,passed all layers — likely truly disappeared,
斚,1,True,1,Unihan variant of {'斝'},斝
蓛,1,False,,passed all layers — likely truly disappeared,
覀,1,False,,passed all layers — likely truly disappeared,
壴,1,False,,passed all layers — likely truly disappeared,
埊,1,False,,passed all layers — likely truly disappeared,
圀,1,False,,passed all layers — likely truly disappeared,
曌,1,False,,passed all layers — likely truly disappeared,
凂,1,True,1,Unihan variant of {'浼'},浼
瓓,1,False,,passed all layers — likely truly disappeared,
呝,1,False,,passed all layers — likely truly disappeared,
鬔,1,False,,passed all layers — likely truly disappeared,
糪,1,False,,passed all layers — likely truly disappeared,
狢,1,False,,passed all layers — likely truly disappeared,
舥,1,False,,passed all layers — likely truly disappeared,
柤,1,False,,passed all layers — likely truly disappeared,
訧,1,False,,passed all layers — likely truly disappeared,
綛,1,False,,passed all layers — likely truly disappeared,
譻,1,False,,passed all layers — likely truly disappeared,
癏,1,False,,passed all layers — likely truly disappeared,
苙,1,False,,passed all layers — likely truly disappeared,
昞,1,False,,passed all layers — likely truly disappeared,
憘,1,False,,passed all layers — likely truly disappeared,
犉,1,False,,passed all layers — likely truly disappeared,
酘,1,False,,passed all layers — likely truly disappeared,
枮,1,False,,passed all layers — likely truly disappeared,
瑿,1,False,,passed all layers — likely truly disappeared,
儚,1,False,,passed all layers — likely truly disappeared,
黬,1,False,,passed all layers — likely truly disappeared,
鞙,1,False,,passed all layers — likely truly disappeared,
黖,1,False,,passed all layers — likely truly disappeared,
铇,1,False,,passed all layers — likely truly disappeared,
懜,1,True,1,Unihan variant of {'懵'},懵
蛜,1,False,,passed all layers — likely truly disappeared,
蝛,1,False,,passed all layers — likely truly disappeared,
瀴,1,False,,passed all layers — likely truly disappeared,
碜,1,False,,passed all layers — likely truly disappeared,
朌,1,False,,passed all layers — likely truly disappeared,
惉,1,False,,passed all layers — likely truly disappeared,
沇,1,False,,passed all layers — likely truly disappeared,
笡,1,False,,passed all layers — likely truly disappeared,
腯,1,False,,passed all layers — likely truly disappeared,
誖,1,False,,passed all layers — likely truly disappeared,
笲,1,False,,passed all layers — likely truly disappeared,
阌,1,False,,passed all layers — likely truly disappeared,
雟,1,False,,passed all layers — likely truly disappeared,
咩,1,False,,passed all layers — likely truly disappeared,
佷,1,False,,passed all layers — likely truly disappeared,
峗,1,False,,passed all layers — likely truly disappeared,
襋,1,False,,passed all layers — likely truly disappeared,
樬,1,False,,passed all layers — likely truly disappeared,
昱,1,False,,passed all layers — likely truly disappeared,
蘙,1,False,,passed all layers — likely truly disappeared,
晀,1,False,,passed all layers — likely truly disappeared,
泔,1,False,,passed all layers — likely truly disappeared,
紭,1,False,,passed all layers — likely truly disappeared,
鬤,1,False,,passed all layers — likely truly disappeared,
鵅,1,False,,passed all layers — likely truly disappeared,
藑,1,False,,passed all layers — likely truly disappeared,
饛,1,False,,passed all layers — likely truly disappeared,
蛷,1,False,,passed all layers — likely truly disappeared,
蝾,1,False,,passed all layers — likely truly disappeared,
峃,1,False,,passed all layers — likely truly disappeared,
恟,1,False,,passed all layers — likely truly disappeared,
肬,1,True,1,Unihan variant of {'疣'},疣
氄,1,False,,passed all layers — likely truly disappeared,
镦,1,False,,passed all layers — likely truly disappeared,
澉,1,False,,passed all layers — likely truly disappeared,
穱,1,False,,passed all layers — likely truly disappeared,
鋜,1,False,,passed all layers — likely truly disappeared,
硞,1,False,,passed all layers — likely truly disappeared,
欶,1,False,,passed all layers — likely truly disappeared,
忲,1,False,,passed all layers — likely truly disappeared,
廥,1,False,,passed all layers — likely truly disappeared,
豽,1,False,,passed all layers — likely truly disappeared,
圿,1,False,,passed all layers — likely truly disappeared,
剟,1,False,,passed all layers — likely truly disappeared,
奅,1,False,,passed all layers — likely truly disappeared,
稭,1,True,1,Unihan variant of {'秸'},秸
痆,1,False,,passed all layers — likely truly disappeared,
秳,1,False,,passed all layers — likely truly disappeared,
扴,1,False,,passed all layers — likely truly disappeared,
帓,1,False,,passed all layers — likely truly disappeared,
霠,1,False,,passed all layers — likely truly disappeared,
鑮,1,False,,passed all layers — likely truly disappeared,
腗,1,False,,passed all layers — likely truly disappeared,
彍,1,False,,passed all layers — likely truly disappeared,
咢,1,False,,passed all layers — likely truly disappeared,
撜,1,False,,passed all layers — likely truly disappeared,
胣,1,False,,passed all layers — likely truly disappeared,
椆,1,False,,passed all layers — likely truly disappeared,
羢,1,False,,passed all layers — likely truly disappeared,
咲,1,True,1,Unihan variant of {'笑'},笑
偡,1,False,,passed all layers — likely truly disappeared,
閦,1,False,,passed all layers — likely truly disappeared,
